,items,has_more,quota_max,quota_remaining
0,"{'tags': ['regex', 'perl'], 'owner': {'reputation': 5095, 'user_id': 8710344, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/e2292c452c0d0c9824d2aa38bb74d9fc?s=256&d=identicon&r=PG&f=1', 'display_name': 'HardcoreHenry', 'link': 'https://stackoverflow.com/users/8710344/hardcorehenry'}, 'is_answered': True, 'view_count': 58, 'answer_count': 2, 'score': 1, 'last_activity_date': 1660682662, 'creation_date': 1660663813, 'last_edit_date': 1660663908, 'question_id': 73376526, 'content_license': 'CC BY-SA 4.0', 'link': 'https://stackoverflow.com/questions/73376526/perl-regex-for-matching-multiline-calls-to-c-function', 'title': 'perl regex for matching multiline calls to c function'}",True,300,299
1,"{'tags': ['perl', 'formatting', 'report'], 'owner': {'reputation': 2696, 'user_id': 6124824, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/dc81b6fda21a94d3f337e2e28463295e?s=256&d=identicon&r=PG', 'display_name': 'vkk05', 'link': 'https://stackoverflow.com/users/6124824/vkk05'}, 'is_answered': True, 'view_count': 92, 'accepted_answer_id': 73173139, 'answer_count': 1, 'score': 1, 'last_activity_date': 1660676235, 'creation_date': 1659089796, 'last_edit_date': 1659768266, 'question_id': 73165106, 'content_license': 'CC BY-SA 4.0', 'link': 'https://stackoverflow.com/questions/73165106/print-size-and-count-in-adjacent-rather-than-in-new-line-in-perl', 'title': 'Print size and count in adjacent rather than in new line in Perl'}",True,300,299
2,"{'tags': ['regex', 'perl'], 'owner': {'reputation': 23, 'user_id': 19770839, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e757a0926de89714caa7fd2c9a4e7222?s=256&d=identicon&r=PG', 'display_name': 'simoneante', 'link': 'https://stackoverflow.com/users/19770839/simoneante'}, 'is_answered': True, 'view_count': 40, 'accepted_answer_id': 73376850, 'answer_count': 2, 'score': 2, 'last_activity_date': 1660674530, 'creation_date': 1660664991, 'last_edit_date': 1660665564, 'question_id': 73376798, 'content_license': 'CC BY-SA 4.0', 'link': 'https://stackoverflow.com/questions/73376798/perl-regex-with-capture-groups-not-working', 'title': 'Perl regex with capture groups not working'}",True,300,299
3,"{'tags': ['perl'], 'owner': {'reputation': 3965, 'user_id': 10760768, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c1655d01be2cdb32d82573fefc465ef5?s=256&d=identicon&r=PG', 'display_name': 'Daniel Hao', 'link': 'https://stackoverflow.com/users/10760768/daniel-hao'}, 'is_answered': True, 'view_count': 45, 'closed_date': 1660665224, 'accepted_answer_id': 73376046, 'answer_count': 1, 'score': -1, 'last_activity_date': 1660673970, 'creation_date': 1660660897, 'last_edit_date': 1660673970, 'question_id': 73375876, 'link': 'https://stackoverflow.com/questions/73375876/perl-idiomatic-way-to-do-grading-of-scores', 'closed_reason': 'Opinion-based', 'title': 'Perl idiomatic way to do grading of scores?'}",True,300,299
4,"{'tags': ['sorting', 'perl', 'hash', 'cmp', 'arrayref'], 'owner': {'reputation': 674, 'user_id': 2035207, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/23407540c4b23ef4f9b4ef62677576ae?s=256&d=identicon&r=PG', 'display_name': 'h q', 'link': 'https://stackoverflow.com/users/2035207/h-q'}, 'is_answered': True, 'view_count': 22, 'closed_date': 1660676944, 'answer_count': 1, 'score': 0, 'last_activity_date': 1660672376, 'creation_date': 1660671059, 'question_id': 73378028, 'link': 'https://stackoverflow.com/questions/73378028/perl-sort-hash-ref-using-multiple-array-ref-values', 'closed_reason': 'Not suitable for this site', 'title': 'Perl: sort hash ref using multiple array ref values'}",True,300,299
5,"{'tags': ['perl', 'email', 'ssl', 'imap', 'attachment'], 'owner': {'reputation': 6849, 'user_id': 146250, 'user_type': 'registered', 'accept_rate': 97, 'profile_image': 'https://www.gravatar.com/avatar/b7d1e3d8a7a3e842a722415b29d4041b?s=256&d=identicon&r=PG', 'display_name': 'Space', 'link': 'https://stackoverflow.com/users/146250/space'}, 'is_answered': True, 'view_count': 10648, 'accepted_answer_id': 2458024, 'answer_count': 4, 'score': 7, 'last_activity_date': 1660671367, 'creation_date': 1268735362, 'last_edit_date': 1269003654, 'question_id': 2453548, 'content_license': 'CC BY-SA 2.5', 'link': 'https://stackoverflow.com/questions/2453548/how-can-i-download-imap-mail-attachments-over-ssl-and-save-them-locally-using-pe', 'title': 'How can I download IMAP mail attachments over SSL and save them locally using Perl?'}",True,300,299
6,"{'tags': ['arrays', 'perl', 'hash'], 'owner': {'reputation': 31, 'user_id': 18729737, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Gg0XS3MVOCjn9VS45lTWSmnegSLQwIAh4NsHNon_Q=k-s256', 'display_name': 'Hardguy', 'link': 'https://stackoverflow.com/users/18729737/hardguy'}, 'is_answered': True, 'view_count': 50, 'accepted_answer_id': 73374495, 'answer_count': 2, 'score': -1, 'last_activity_date': 1660659523, 'creation_date': 1660648364, 'last_edit_date': 1660659523, 'question_id': 73373058, 'content_license': 'CC BY-SA 4.0', 'link': 'https://stackoverflow.com/questions/73373058/perl-code-interpretation-regarding-hash-and-array', 'title': 'perl code interpretation regarding hash and array'}",True,300,299
7,"{'tags': ['macos', 'perl', 'libpng'], 'owner': {'reputation': 9, 'user_id': 19767508, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b5940f1d42fe1c39adb4f4c58efe9316?s=256&d=identicon&r=PG', 'display_name': 'Darina', 'link': 'https://stackoverflow.com/users/19767508/darina'}, 'is_answered': False, 'view_count': 57, 'answer_count': 2, 'score': 0, 'last_activity_date': 1660657829, 'creation_date': 1660563625, 'last_edit_date': 1660571955, 'question_id': 73360506, 'content_license': 'CC BY-SA 4.0', 'link': 'https://stackoverflow.com/questions/73360506/perl-imager-libpng-png-libraries-or-headers-not-found', 'title': 'Perl Imager - libpng PNG libraries or headers not found'}",True,300,299
8,"{'tags': ['perl'], 'owner': {'reputation': 11, 'user_id': 19773998, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/37771ed2fc4e1abc6b9b7b2d3368b9f0?s=256&d=identicon&r=PG&f=1', 'display_name': 'Avengs', 'link': 'https://stackoverflow.com/users/19773998/avengs'}, 'is_answered': True, 'view_count': 55, 'answer_count': 1, 'score': 1, 'last_activity_date': 1660648663, 'creation_date': 1660638824, 'last_edit_date': 1660647666, 'question_id': 73371058, 'content_license': 'CC BY-SA 4.0', 'link': 'https://stackoverflow.com/questions/73371058/perl-script-to-read-and-copy-data-to-a-hashtable-and-count-occurrences', 'title': 'Perl script to read and copy data to a hashtable and count occurrences'}",True,300,299
9,"{'tags': ['regex', 'perl'], 'owner': {'reputation': 1, 'user_id': 19772458, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AFdZucoCJevv5XJZI8xzDNp9umbRy8uX4OAS4gXSm-Ai=k-s256', 'display_name': 'Noor Muhammed', 'link': 'https://stackoverflow.com/users/19772458/noor-muhammed'}, 'is_answered': False, 'view_count': 30, 'closed_date': 1660632878, 'answer_count': 0, 'score': -2, 'last_activity_date': 1660633078, 'creation_date': 1660630044, 'last_edit_date': 1660633078, 'question_id': 73369446, 'link': 'https://stackoverflow.com/questions/73369446/unsupported-perl-syntax', 'closed_reason': 'Duplicate', 'title': 'unsupported Perl syntax: `(?!`'}",True,300,299
